ending_price,starting_price,reviews_count,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,fuel_tank_capacity,no_cylinder,rating,seating_capacity,fuel_type,engine_displacement,transmission_type,body_type,car_name
2403000,2384000,40,395,0,134.1,0,0,0,4.5,5,Electric,0,Automatic,SUV,Hyundai Kona Electric
859000,600000,136,95,3500,72.4,6000,60,3,4.5,5,CNG,1199,Manual,Sedan,Tata Tigor
1062000,599000,228,152,4400,98.63,5000,40,3,4.5,5,Petrol,999,Automatic,SUV,Renault Kiger
599000,425000,301,89,3500,65.71,5500,27,3,4.5,5,Petrol,998,Automatic,Hatchback,Maruti S-Presso
1813000,1022000,101,220,3600,138.08,5600,45,3,4.5,5,Petrol,1349,Automatic,SUV,MG Astor
34300000,31500000,33,850,4500,641,6000,75,8,4.5,5,Petrol,3996,Automatic,SUV,Lamborghini Urus
1150000,663000,85,160,1750,79.12,3600,35,4,4.5,5,Diesel,1498,Automatic,Sedan,Honda Amaze
851000,592000,774,96,3500,71,6250,40,3,4.5,7,Petrol,999,Automatic,MUV,Renault Triber
2025000,1589000,207,250,2750,113.42,4000,50,4,4,7,Diesel,1493,Automatic,SUV,Hyundai Alcazar
887000,609000,261,172,4000,98.63,6000,37,3,4.5,5,Petrol,998,Manual,Sedan,Hyundai Aura
1792000,1122000,69,250,3500,147.51,6000,45,4,4.5,5,Petrol,1498,Automatic,Sedan,Volkswagen Virtus
1839000,1099000,52,250,3500,147.52,6000,45,4,4.5,5,Petrol,1498,Automatic,Sedan,Skoda Slavia
772000,535000,461,113,4200,81.8,6000,32,4,4.5,5,Petrol,1197,Automatic,Hatchback,Maruti Ignis
4890000,4490000,12,400,2600,187.74,3800,38,4,4.5,5,Diesel,1950,Automatic,SUV,Mercedes-Benz GLA
9665000,9390000,35,640,1740,400,0,68,4,4.5,7,Petrol,1969,Automatic,Hybrid,Volvo XC90
1949000,1129000,172,250,3500,147.51,6000,50,4,4.5,5,Petrol,1498,Automatic,SUV,Skoda Kushaq
1455000,1129000,58,136.8,4400,101.65,6000,45,4,4.5,6,Petrol,1462,Automatic,MUV,Maruti XL6
6035000,5635000,18,400,3000,268,5250,41,4,4.5,5,Petrol,1998,Automatic,SUV,Jeep Wrangler
594000,463000,264,85,3000,61.68,6000,65,4,4.5,7,Petrol,1196,Manual,Minivan,Maruti Eeco
1449000,1449000,28,250,2400,89.84,3200,63,4,4.5,4,Diesel,2596,Manual,SUV,Force Gurkha
1292000,895000,77,138,4400,103.25,6000,48,4,4.5,5,Petrol,1462,Automatic,SUV,Maruti S-Cross
1198000,899000,666,138,4400,103.25,6000,43,4,4.5,5,Petrol,1462,Automatic,Sedan,Maruti Ciaz
642000,490000,532,85.3,4501,59.17,5500,60,4,4.5,5,CNG,1086,Manual,Hatchback,Hyundai Santro
1860000,1140000,68,250,3500,147.51,6000,50,4,4.5,5,Petrol,1498,Automatic,SUV,Volkswagen Taigun
17800000,11800000,15,760,3000,394.26,4400,80,6,4.5,7,Diesel,2993,Automatic,SUV,BMW X7
8808000,8249000,9,500,4500,335.25,6400,57,6,4.5,7,Petrol,2995,Automatic,SUV,Audi Q7
9260000,9260000,13,198,4000,115.32,4700,58,4,4.5,7,Petrol,2494,Automatic,MUV,Toyota Vellfire
3680000,3399000,13,500,2800,201.15,3400,80,4,4.5,5,Diesel,2755,Automatic,Pickup Truck,Toyota Hilux
3950000,3150000,74,480,2400,215.01,4000,75,4,4.5,7,Diesel,1996,Automatic,SUV,MG Gloster
90000000,62500000,52,720,6750,759.01,8500,90,12,4.5,2,Petrol,6498,Automatic,Coupe,Lamborghini Aventador
4450000,4150000,40,400,2500,187.74,6000,51,4,4.5,5,Diesel,1995,Automatic,SUV,BMW X1
9590000,7990000,28,450,5200,335.26,6500,51,6,4.5,5,Petrol,2998,Automatic,SUV,BMW X5
4435000,4435000,6,221,5200,175.67,5700,42,4,4.5,5,Petrol,2498,Automatic,Sedan,Toyota Camry
3280000,3279000,5,320,4100,187.74,6000,60,4,4.5,5,Petrol,1984,Automatic,SUV,Volkswagen Tiguan
79500000,69500000,15,820,1500,563,5250,88,12,4.5,5,Petrol,6750,Automatic,Sedan,Rolls-Royce Ghost
2985000,2685000,20,320,3990,187.74,6000,50,4,4.5,5,Petrol,1984,Automatic,Sedan,Skoda Octavia
3659000,3349000,22,320,4200,187.74,6000,66,4,4.5,5,Petrol,1984,Automatic,Sedan,Skoda Superb
6599000,5999000,19,370,4500,241.3,6500,73,4,4.5,5,Petrol,1984,Automatic,Sedan,Audi A6
4450000,4450000,20,300,0,187.4,0,54,4,4.5,5,Petrol,1969,Automatic,SUV,Volvo XC40
6495000,5995000,15,605,0,320.55,0,0,0,4.5,5,Electric,0,Automatic,SUV,Kia EV6
6590000,6590000,8,350,0,246.58,0,60,4,4.5,5,Petrol,1969,Automatic,Sedan,Volvo S90
1032000,801000,41,110,4800,88.5,6000,40,4,4.5,5,Petrol,1199,Automatic,Hatchback,Honda Jazz
8941000,8941000,35,365,4000,246.74,5500,82,4,4.5,5,Petrol,1997,Automatic,SUV,Land Rover Range Rover Velar
1231000,911000,81,200,1750,97.89,3600,40,4,4.5,5,Diesel,1498,Manual,SUV,Honda WR-V
6590000,6590000,24,440,3000,246.74,4000,70,5,4.5,5,Petrol,1998,Automatic,SUV,Volvo XC60
3999000,3749000,10,320,4100,187.74,6000,58,4,4.5,7,Petrol,1984,Automatic,SUV,Skoda Kodiaq
4997000,4312000,23,320,4200,187.74,6000,54,4,4.5,5,Petrol,1998,Automatic,Sedan,Audi A4
6790000,6190000,6,350,4800,248.08,5200,40,4,4.5,5,Petrol,1998,Automatic,SUV,BMW X3
8490000,7190000,12,500,4500,335,6500,52,6,4.5,2,Petrol,2998,Automatic,Convertible,BMW Z4
6890000,4690000,43,400,4400,254.79,5000,59,4,4.5,5,Petrol,1998,Automatic,Sedan,BMW 3 Series Gran Limousine
1490000,950000,257,254,1600,153.87,5500,50,4,4.5,5,Petrol,1330,Automatic,SUV,Nissan Kicks
1544000,1317000,321,300,2500,120.96,3500,45,4,4.5,8,Diesel,1497,Manual,MUV,Mahindra Marazzo
6100000,5500000,11,550,2200,261.49,4200,40,4,4.5,5,Diesel,1993,Automatic,Sedan,Mercedes-Benz C-Class
10400000,10400000,4,450,5200,335.25,6500,83,6,4.5,5,Petrol,2998,Automatic,Luxury,BMW X6
3188000,3188000,122,420,2600,178.49,3800,70,4,4.5,7,Diesel,2157,Automatic,SUV,Mahindra Alturas G4
361000,361000,43,16.1,4000,10.8,5500,35,1,4,4,CNG,216,Manual,Hatchback,Bajaj Qute (RE60)
1444000,1000000,94,175,4000,108.62,5500,55,3,4.5,5,Petrol,999,Automatic,Sedan,Volkswagen Vento
6555000,5990000,3,370,4300,245.59,6000,40,4,4.5,5,Petrol,1984,Manual,SUV,Audi Q5
37600000,37600000,2,760,5750,611.5,7500,80,8,4.5,2,Petrol,3855,Automatic,Coupe,Ferrari Roma
2588000,2200000,14,280,0,173.83,0,0,0,4.5,5,Electric,0,Automatic,SUV,MG ZS EV
17600000,14200000,16,450,5000,281.6,6000,46,6,4.5,4,Petrol,2998,Automatic,Sedan,BMW 7 Series
8500000,6700000,8,600,3200,281.61,4600,48,6,4.5,5,Diesel,2925,Automatic,Sedan,Mercedes-Benz E-Class
6990000,6990000,8,430,0,335.25,0,0,0,4.5,5,Electric,0,Automatic,Sedan,BMW i4
18400000,16400000,7,700,3000,345.98,4000,51,6,4.5,5,Diesel,2997,Automatic,SUV,Land Rover Range Rover Sport
15300000,9813000,4,580,500,443.8,6000,70,8,4.5,2,Petrol,5000,Automatic,Coupe,Jaguar F-TYPE
496000,398000,67,91,4250,67.05,5550,28,3,3.5,5,Petrol,999,Automatic,Hatchback,Datsun redi-GO
4450000,4150000,9,400,2500,187.74,4000,51,4,4.5,5,Diesel,1995,Automatic,Sedan,BMW 2 Series
2700000,1300000,8,360,2500,160.92,3600,37,4,4.5,5,Diesel,1898,Automatic,SUV,Isuzu D-Max
7450000,6450000,6,620,2500,261.49,4000,48,6,4.5,5,Diesel,2993,Automatic,Sedan,BMW 5 Series
4889000,3499000,10,320,4180,187.74,6000,55,4,4.5,5,Petrol,1984,Automatic,SUV,Audi Q2
24700000,11600000,10,730,4500,549.81,6500,90,8,4.5,7,Petrol,3982,Automatic,SUV,Mercedes-Benz GLS
19300000,12700000,12,770,4500,550,6000,90,8,4.5,5,Petrol,3996,Automatic,SUV,Porsche Cayenne
3378000,3224000,44,400,2000,174.33,3750,52.5,4,4,5,Diesel,1997,Automatic,SUV,Citroen C5 Aircross
651000,403000,312,104,4400,76.43,6000,35,3,4.5,5,Petrol,1198,Automatic,Hatchback,Datsun GO
4590000,4590000,7,300,0,190,0,38,4,4.5,5,Petrol,1969,Automatic,Sedan,Volvo S60
14700000,8321000,9,550,5600,434.49,6600,65,6,4.5,5,Petrol,2894,Automatic,SUV,Porsche Macan
4850000,4664000,22,365,4000,246.74,5500,61.7,4,4.5,5,Petrol,1997,Automatic,Sedan,Jaguar XE
2915000,2915000,6,180,0,93.87,0,0,0,4.5,5,Electric,0,Automatic,MUV,BYD E6
15600000,7488000,5,700,5000,543.11,6500,82,8,4.5,5,Petrol,4999,Automatic,SUV,Jaguar F-Pace
738000,642000,12,113,3300,84.48,6000,35,3,4.5,5,Petrol,1199,Automatic,Hatchback,Tata Tiago NRG
784000,618000,226,115,3600,82,5500,35,3,4.5,6,Petrol,1198,Manual,Hatchback,Mahindra KUV 100 NXT
5090000,5090000,3,270,1000,181.03,0,0,0,4.5,4,Electric,0,Automatic,Hatchback,Mini Cooper SE
11900000,10100000,7,664,0,300,0,75,0,4.5,5,Electric,0,Automatic,Coupe,Audi e-tron
700000,426000,307,104,4400,76.43,6000,35,3,4.5,7,Petrol,1198,Automatic,MUV,Datsun GO Plus
25500000,25500000,8,850,3500,576.63,6000,66,8,4.5,5,Petrol,3982,Automatic,SUV,Mercedes-Benz AMG G 63
27100000,27100000,16,700,5500,576.63,6250,68,8,4.5,2,Petrol,3982,Automatic,Coupe,Mercedes-Benz AMG GT
6560000,5950000,31,202,5200,214.56,5700,65,4,4.5,5,Petrol,2487,Automatic,Sedan,Lexus ES
23400000,15300000,8,650,0,482.76,0,0,0,4.5,5,Electric,0,Automatic,Wagon,Porsche Taycan
22200000,19100000,3,350,5100,354,6600,82,6,4.5,4,Petrol,3456,Automatic,Sedan,Lexus LS
69500000,69500000,15,850,1600,563,5000,88,12,4.5,5,Petrol,6750,Automatic,SUV,Rolls-Royce Cullinan
3790000,3500000,2,360,2500,160.92,3600,55,4,4.5,7,Diesel,1898,Automatic,SUV,Isuzu MU-X
11600000,11600000,3,630,0,321.84,0,0,0,4.5,5,Electric,0,Automatic,SUV,BMW iX
34100000,32200000,9,900,4500,626,6000,90,12,4.5,4,Petrol,5950,Automatic,Sedan,Bentley Flying Spur
16900000,16000000,12,500,4500,362.07,6100,52,6,4.5,5,Petrol,2999,Automatic,Sedan,Mercedes-Benz S-Class
21200000,17100000,2,650,4000,530,6800,80,8,4.5,5,Petrol,3799,Automatic,Sedan,Maserati Quattroporte
7600000,7160000,31,430,2500,201.15,4250,39,4,4.5,5,Diesel,1997,Automatic,Sedan,Jaguar XF
6800000,6200000,38,400,2800,194,3800,66,4,4.5,5,Diesel,1950,Automatic,SUV,Mercedes-Benz GLC
35000000,35000000,5,760,5250,591.79,7500,81,8,4.5,4,Petrol,3855,Automatic,Convertible,Ferrari Portofino
32000000,25000000,7,900,4000,603.46,5500,80,12,4.5,4,Petrol,5980,Automatic,Sedan,Mercedes-Benz Maybach S-Class
16400000,14900000,4,580,5750,350,5750,80,6,3.5,5,Petrol,2979,Automatic,SUV,Maserati Levante
750000,695000,4,250,2000,85,3000,45,4,4.5,4,Diesel,2956,Manual,Pickup Truck,Tata Yodha Pickup
38200000,38200000,5,700,5000,542,6500,85,8,4.5,5,Diesel,3982,Automatic,SUV,Aston Martin DBX
39100000,32900000,17,700,1600,562,6000,90,12,4.5,4,Petrol,5998,Automatic,Convertible,Bentley Continental
25400000,25400000,2,1020,0,750.97,0,0,0,5,5,Electric,0,Automatic,Sedan,Mercedes-Benz EQS
57500000,57500000,3,718,7000,788.52,8500,92,8,4.5,2,Petrol,6496,Automatic,Convertible,Ferrari 812
22400000,22400000,4,800,4500,591,6250,73,6,4.5,4,Petrol,3996,Automatic,Luxury,Audi RS7
21500000,21500000,2,850,5000,603.46,6500,67,8,4.5,5,Petrol,3982,Automatic,SUV,Mercedes-Benz AMG GLE 63 S
45000000,45000000,1,630,0,611.51,0,78,8,4.5,,Petrol,3994,Automatic,Coupe,Mclaren GT
17200000,17200000,12,600,3200,281.61,4600,100,6,4.5,5,Diesel,2925,Automatic,SUV,Mercedes-Benz G-Class
21200000,21200000,20,637,5800,562.2,6800,80,6,4.5,4,Petrol,3798,Automatic,Coupe,Nissan GT-R
8500000,8500000,5,550,5230,410,6250,74,6,4.5,4,Petrol,2979,Automatic,Coupe,BMW M2
946000,913000,14,91,3000,41.57,3500,0,0,4,5,Electric,0,Automatic,Sedan,Mahindra E Verito
72100000,62200000,6,900,4500,591,5500,52,12,4.5,4,Petrol,6592,Automatic,Coupe,Rolls Royce Wraith
14600000,7110000,8,380,2400,161,3800,57,4,4.5,7,Diesel,2143,Automatic,MUV,Mercedes-Benz V-Class
31400000,17300000,8,450,5000,641,6500,83,6,4.5,4,Petrol,2981,Automatic,Coupe,Porsche 911
27100000,15800000,1,770,4500,680,6000,60,8,4.5,5,Petrol,2894,Automatic,Wagon,Porsche Panamera
5150000,5150000,14,280,1250,189.08,6000,44,4,4.5,4,Petrol,1998,Automatic,Convertible,Mini Cooper Convertible
19300000,11500000,2,450,1500,330,1500,80,8,3,5,Petrol,3799,Automatic,Sedan,Maserati Ghibli
7160000,6490000,1,239,4500,187.74,6000,55,4,4,5,Petrol,2487,Automatic,SUV,Lexus NX
7139000,6530000,6,365,4500,245.4,5500,70,4,4.5,7,Petrol,1997,Automatic,SUV,Land Rover Discovery Sport
41000000,41000000,1,770,4500,542,6000,85,8,4,4,Petrol,3956,Automatic,SUV,Bentley Bentayga
450000,450000,8,800,6000,769.31,7500,64,8,4.5,2,Petrol,3990,Automatic,Coupe,Ferrari SF90 Stradale
22000000,21600000,2,90,0,20.11,0,0,0,3.5,2,Electric,0,Automatic,Hatchback,Strom Motors R3
25100000,22500000,1,350,5100,295.02,6600,82,6,4.5,4,Petrol,3456,Automatic,Coupe,Lexus LC 500h
40200000,40200000,3,520,4750,460,7000,86,8,5,4,Petrol,4691,Automatic,Coupe,Maserati GranTurismo
12500000,8580000,6,770,3250,710.74,8000,68,8,3.5,2,Petrol,3902,Automatic,Coupe,Ferrari F8 Tributo
14400000,14400000,2,700,4000,325.8,4200,93,6,4.5,5,Diesel,2925,Automatic,SUV,Mercedes-Benz GLE
22300000,16200000,11,650,5500,502.88,6250,0,6,4.5,5,Petrol,2993,Automatic,Coupe,BMW M4 Competition
4600000,4200000,3,750,5600,600,6000,56,8,4.5,4,Petrol,4395,Automatic,Coupe,BMW 8 Series
4400000,4200000,13,280,1350,189.08,6000,51,4,4.5,5,Petrol,1998,Automatic,SUV,Mini Cooper Countryman
25400000,13700000,3,320,3500,147.51,4000,66,4,4.5,5,Diesel,1950,Automatic,Sedan,Mercedes-Benz A-Class Limousine
15900000,15900000,2,520,0,460,0,75,8,4,4,Diesel,4691,Automatic,Convertible,Maserati GranCabrio
35000000,30000000,1,520,5800,435,6100,85,6,4.5,5,Petrol,2999,Automatic,Coupe,Mercedes-Benz AMG GLE 53
9950000,9950000,3,675,5000,502.88,6000,73,8,3.5,2,Petrol,3998,Manual,Convertible,Aston Martin Vantage
8247000,8247000,1,760,0,402.3,0,0,0,4.5,5,Electric,0,Automatic,SUV,Mercedes-Benz EQC
11100000,11100000,1,520,5000,384.87,6100,52,6,4.5,5,Petrol,2996,Automatic,Coupe,Mercedes-Benz AMG C 43
726000,726000,5,335,4600,258.81,6000,65,6,5,5,Petrol,3456,Automatic,SUV,Lexus RX
12400000,12000000,8,97.96,4200,65.39,5600,65,4,4.5,5,CNG,1197,Manual,Sedan,Hyundai Xcent Prime
76400000,70600000,6,696,0,394.26,0,0,0,4.5,5,Electric,0,Automatic,SUV,Jaguar I-Pace
20800000,20800000,2,820,5000,563,6000,83,12,4,4,Petrol,6598,Automatic,Convertible,Rolls Royce Dawn
49900000,32100000,30,750,5600,616.87,6000,83,8,5,5,Petrol,4395,Automatic,SUV,BMW X5 M
4000000,4000000,5,565,6500,630.28,8000,66,10,4.5,2,Petrol,5204,Automatic,Coupe,Lamborghini Huracan EVO
8470000,8470000,15,280,1250,189.08,6000,44,4,4.5,4,Petrol,1998,Automatic,Hatchback,Mini Cooper 3 DOOR
912000,885000,60,500,2400,241.3,4200,0,4,4.5,5,Diesel,1950,Automatic,Coupe,Mercedes-Benz CLS
23300000,23300000,5,200,2200,75.09,3200,60,4,4.5,2,Diesel,2523,Manual,Pickup Truck,Mahindra Bolero PikUp ExtraLong
8700000,8700000,1,530,3200,362,5600,93,8,5,8,Petrol,5663,Automatic,SUV,Lexus LX
976000,927000,9,520,5000,384.87,6100,52,6,4.5,5,Petrol,2996,Automatic,SUV,Mercedes-Benz AMG GLC 43
3549000,2999000,88,200,2200,75.09,3200,57,4,4.5,5,Diesel,2523,Manual,Pickup Truck,Mahindra Bolero Camper
583000,463000,1,250,0,141.04,0,0,0,5,5,Electric,0,Automatic,SUV,Tata Nexon EV Max
1173000,903000,97,260,2250,100,3750,50,3,4.5,7,Diesel,1493,Manual,SUV,Mahindra Bolero Neo
25700000,13500000,1,260,2250,100,3750,50,3,4.5,7,Diesel,1493,Manual,SUV,Mahindra Bolero Neo
5800000,5800000,1,630,0,522.99,0,66,0,4.5,5,Electric,0,Automatic,Coupe,Audi e-tron GT
25700000,13500000,1,95,4000,70.4,6000,55,4,4.5,5,CNG,1197,Manual,Sedan,Maruti Swift Dzire Tour
1989000,1989000,21,400,4000,301.73,5800,51,4,4.5,5,Petrol,1991,Automatic,Sedan,Mercedes-Benz AMG A 35
3132000,3132000,5,500,2400,241.38,4200,72,4,5,5,Diesel,1950,Automatic,Coupe,Mercedes-Benz GLC Coupe
3695000,2990000,23,113,4400,88.5,6000,37,4,4.5,5,Petrol,1197,Automatic,Hatchback,Toyota Glanza
5590000,5590000,3,113,4400,88.5,6000,37,4,4.5,5,Petrol,1197,Automatic,Hatchback,Toyota Glanza
18900000,18900000,1,850,4500,631.62,6000,64,8,3.5,4,Petrol,3996,Automatic,SUV,Porsche Cayenne Coupe
397000,391000,6,850,4500,631.62,6000,64,8,3.5,4,Petrol,3996,Automatic,SUV,Porsche Cayenne Coupe
8150000,8150000,1,127,5000,96.55,6400,40,4,4.5,5,Petrol,1498,Automatic,Sedan,Honda City Hybrid
5690000,5450000,1,350,2500,170,3750,60,4,4.5,5,Diesel,1998,Automatic,SUV,Compass Trailhawk
2075000,1615000,78,350,2500,167.67,3750,60,4,4.5,7,Diesel,1956,Automatic,SUV,Jeep Meridian
999000,659000,35,500,5250,415.71,6750,45,4,4.5,5,Petrol,1991,Automatic,Hatchback,Mercedes-Benz AMG A 45 S
1041000,1041000,3,400,4400,254.79,5000,59,4,4.5,5,Petrol,1998,Automatic,Sedan,BMW 3 Series Gran Limousine
2075000,1615000,2,350,2500,167.67,3750,60,4,4.5,7,Diesel,1956,Manual,SUV,MG Hector Plus
21700000,21700000,9,800,4500,591.39,6000,85,8,3.5,5,Petrol,3998,Automatic,SUV,Audi RS Q8
397000,391000,4,69,3500,47.33,6000,35,3,4.5,5,Petrol,796,Manual,Hatchback,Maruti Alto 800 tour
